id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Through the Ages,Serene Strings,classical,nostalgic,0.25,60,0.62,0.20,0.95
12,Delta Twilight,Blue Harbor,blues,melancholy,0.45,85,0.35,0.50,0.60
13,Iron Roar,Black Anvil,metal,aggressive,0.98,170,0.18,0.45,0.03
14,Sunset Riddim,Bright Island,reggae,laid-back,0.55,74,0.78,0.75,0.40
15,Hearthside Song,Willow & Co,folk,intimate,0.38,95,0.66,0.48,0.92
16,Concrete Swagger,Rhythm Council,hip hop,confident,0.85,100,0.70,0.90,0.12
17,Neon Euphoria,Pulse Circuit,electronic,euphoric,0.90,128,0.88,0.86,0.03
18,Open Road Anthem,June Carter,country,heartfelt,0.50,102,0.60,0.52,0.87
